avgRateByFrame,avgRateBytes,maxRate,minRate,avgRate,avgDt,estAvgBufferTime,changes,queueLength,queueLengthInBytes,duration_min,ul_txPackets,ul_txBytes,ul_txOffered,ul_xBytes,ul_rxOfferedthroughput,ul_meanDelay,ul_meanJitter,ul_rxPackets,ul_pdcp_nTxPDUs,ul_pdcp_TxBytes,ul_pdcp_nRxPDUs,ul_pdcp_RxBytes,ul_pdcp_delay_s,ul_pdcp_stdDev_s,ul_pdcp_min_s,ul_pdcp_max_s,ul_pdcp_PduSize,ul_pdcp_stdDev,ul_rlc_nTxPDUs,ul_rlc_TxBytes,ul_rlc_nRxPDUs,ul_rlc_RxBytes,ul_rlc_delay_s,ul_rlc_stdDev_s,ul_rlc_min_s,ul_rlc_max_s,ul_rlc_PduSize,ul_rlc_stdDev,ul_rlc_min,ul_rlc_max,IMSI,cellId,rnti,dl_mac_mcs,dl_mac_TbSize,index_x,sinr,dl_pathLoss_dB,ul_pathLoss_dB,ul_tbSize,ul_mcs,ul_rv,ul_SINR_dB,ul_CQI,ul_corrupt,ul_rv_max,dl_tbSize,dl_mcs,dl_rv,dl_SINR_dB,dl_CQI,dl_corrupt,UL_DCI_rxMac,BSR_txMac,SR_txMac,UL_DCI_rxPhy_x,DL_DCI_rxPhy_x,qoe_YinX_v1,qoe_YinX_v2,nodes
2544,115141,4220,2134,13370,48.25,12.73,2,1200,13860,342,28820,16914032,14.766,16771985,14.63,33.25,0.397,28580,28820,16971668,28580,16829136,0.03323,0.012535,0.003643,0.0636,589.0,16.84,5250,16884112,5250,16884112,0.0028,0.000441,0.002314,0.00796,3216,724.5,27,19310,38,11,5,27.94,2192.0,5595,54.06,-77.94,-77.94,3278,27.98,0.007,36.3,0.01,0.007,1,2194.0,27.94,0.0,54.1,15.0,0.0,5770,5770,130,43230,3468,45.75,28.27,7
2388,108843,4220,1547,12580,41.2,11.94,2,1099,13020,360,26850,15755831,13.766,15665279,13.664,39.88,0.4995,26690,26850,15809525,26690,15718665,0.0399,0.01959,0.003286,0.0872,589.0,17.89,5668,15781555,5664,15771907,0.003197,0.001492,0.00217,0.00796,2784,1839.0,27,19310,65,19,6,27.89,1913.0,5540,52.9,-77.4,-77.4,2912,27.95,0.084,32.16,0.08,0.085,1,1913.0,27.89,0.0,52.9,15.0,0.0,6624,6624,120,44600,3012,41.47,25.58,7
1856,86080,3080,2134,10470,36.34,10.87,6,1013,11144,410,22780,13373191,11.68,13260295,11.57,33.12,0.4133,22600,22780,13418755,22600,13305475,0.0331,0.01285,0.00307,0.06207,589.0,16.8,4296,13355796,4296,13349370,0.002626,0.000527,0.00217,0.00796,3108,741.0,9,19310,37,9,4,27.94,2054.0,5675,51.06,-78.3,-78.3,3150,27.98,0.009,29.31,0.01,0.01,1,2054.0,27.94,0.0,51.1,15.0,0.0,4744,4744,109,49660,3452,34.62,21.38,8
2084,98861,4220,1547,11230,37.84,10.98,3,1026,11780,409,23980,14079111,12.54,14079111,12.51,36.56,0.4434,23980,23980,14127089,23980,14127089,0.03656,0.01476,0.002787,0.0763,589.0,17.7,4504,14173134,4504,14173134,0.002796,0.001949,0.00217,0.012955,3148,704.5,7,19310,8,1,1,27.92,2550.0,6408,46.28,-81.3,-81.3,3204,27.81,0.104,26.86,0.09,0.087,2,2550.0,27.92,0.0,46.28,15.0,0.0,5344,5344,110,48830,3500,37.25,22.95,8
1581,74271,2484,1547,9960,37.62,10.9,6,1026,10980,580,21630,12691806,11.195,12691806,11.17,39.66,0.536,21630,21630,12735056,21630,12735056,0.03967,0.01968,0.003143,0.1148,589.0,17.89,5280,12779473,5280,12779473,0.002785,0.0007887,0.00217,0.00796,2422,1333.0,12,17710,113,23,8,27.88,1773.0,1317,54.22,-77.7,-77.7,2520,27.98,0.023,33.44,0.02,0.024,1,1773.0,27.88,0.0,54.2,15.0,0.0,5840,5840,113,51300,3328,31.8,19.56,10
2308,109789,4220,1245,19420,59.34,14.51,3,1326,22400,174,42500,24945182,21.84,24945182,21.8,28.31,0.2776,42500,42500,25030184,42500,25030184,0.02829,0.0119,0.003286,0.05466,589.0,16.75,4320,25103000,4320,25103000,0.003983,0.00221,0.00217,0.012955,5810,3100.0,27,19310,14,7,3,27.83,2488.0,3110,40.7,-85.0,-85.0,6116,27.77,0.187,24.88,0.19,0.187,2,2488.0,27.83,0.014,40.7,14.88,0.014,6024,6024,181,22740,2320,68.75,42.2,4
2008,97192,3840,1547,9500,26.25,9.13,4,826,9760,598,20370,11952923,10.7,11950571,10.6,57.75,0.671,20370,20370,11993653,20370,11991293,0.05774,0.02667,0.003286,0.1434,589.0,17.44,5150,12035905,5150,12034303,0.004055,0.002356,0.00217,0.012955,2336,1594.0,8,19310,104,21,7,27.56,1749.0,1786,42.2,-81.1,-81.1,2456,27.55,0.211,23.9,0.21,0.208,2,1749.0,27.56,0.029,42.2,14.85,0.029,6876,6876,98,59260,3754,30.62,18.84,10
1178,54580,2134,1245,8172,36.66,11.09,7,1011,9380,470,18380,10789295,9.46,10674047,9.34,51.16,0.658,18190,18380,10826059,18190,10710419,0.05112,0.0231,0.00457,0.117,589.0,17.94,3844,10862119,3840,10815221,0.00483,0.002842,0.00217,0.012955,2816,1066.0,27,19310,36,7,1,27.8,2578.0,135,38.7,-82.3,-82.3,2950,25.28,0.311,19.89,0.31,0.311,2,2578.0,27.8,0.012,38.7,14.94,0.012,5956,5956,96,55870,3416,25.78,15.84,9
2008,91526,3840,1547,10010,28.75,9.98,4,898,10456,522,21710,12741302,11.14,12652514,11.04,50.28,0.6167,21550,21710,12784722,21550,12695632,0.05026,0.02374,0.0035,0.0952,589.0,17.84,5776,12744913,5776,12741709,0.00321,0.00154,0.002243,0.00796,2206,1291.0,27,19310,21,5,7,27.88,1745.0,672,46.34,-86.3,-86.3,2296,27.88,0.089,26.72,0.09,0.089,1,1745.0,27.88,0.0,46.38,15.0,0.0,6724,6724,101,56100,3656,33.75,20.78,9
2204,98681,4220,1547,11650,39.97,11.73,3,1086,12270,403,25230,14814424,12.96,14733528,12.85,44.88,0.527,25100,25230,14864902,25100,14783730,0.04486,0.0195,0.006573,0.0775,589.0,16.53,6310,14839174,6310,14835970,0.00286,0.0002537,0.002386,0.00796,2350,1647.0,27,19310,74,19,7,27.89,1778.0,6006,49.12,-77.5,-77.5,2528,27.98,0.002,34.06,0.0,0.003,1,1778.0,27.9,0.0,49.12,15.0,0.0,6770,6770,115,48580,3652,40.8,25.16,8
